Organization,Name,Inventory
UWC,adconnector.unitedworldcollege.net,domain1
UWC,adriatic.unitedworldcollege.net,domain1
UWC,eastdc2.unitedworldcollege.net,domain1
UWC,eastdc2ex.unitedworldcollege.net,domain1
UWC,waterford.unitedworldcollege.net,domain1
UWC,costarica.unitedworldcollege.net,domain2
UWC,nordic.unitedworldcollege.net,domain2
UWC,pearson.unitedworldcollege.net,domain2
UWC,ryoto.unitedworldcollege.net,domain2
UWC,ryu.unitedworldcollege.net,domain2
UWC,mostar.unitedworldcollege.net,domain2
UWC,gatekeeper.unitedworldcollege.net,domain2
UWC,overlord.unitedworldcollege.net,db1
UWC,elluciandb.unitedworldcollege.net,db1
UWC,glacier.unitedworldcollege.net,db2
UWC,omegared.unitedworldcollege.net,db2
UWC,dilijan.unitedworldcollege.net,dns1
UWC,dilijan2.unitedworldcollege.net,dns1
UWC,eastdns.unitedworldcollege.net,dns1
UWC,eastdns2.unitedworldcollege.net,dns1
UWC,jaguar.unitedworldcollege.net,dns2
UWC,mclaren.unitedworldcollege.net,dns2
UWC,novalis.unitedworldcollege.net,dns2
UWC,deadpool.unitedworldcollege.net,dhcp1
UWC,afterburner.unitedworldcollege.net,dhcp1
UWC,weasel.unitedworldcollege.net,dhcp2
UWC,scattershot.unitedworldcollege.net,dhcp2
UWC,aladdin.unitedworldcollege.net,infra1
UWC,cardexchange_2k19.unitedworldcollege.net,infra1
UWC,dumpster.unitedworldcollege.net,infra1
UWC,gnome.unitedworldcollege.net,infra1
UWC,kms.unitedworldcollege.net,infra1
UWC,olaff.unitedworldcollege.net,infra1
UWC,meeko.unitedworldcollege.net,infra1
UWC,uwcfax.unitedworldcollege.net,infra2
UWC,datadogmonitor.unitedworldcollege.net,infra2
UWC,adfsproxy.unitedworldcollege.net,infra2
UWC,seauthconnect.unitedworldcollege.net,infra2
UWC,fardp.unitedworldcollege.net,infra2
UWC,tamps.unitedworldcollege.net,infra2
UWC,pamsecure.unitedworldcollege.net,infra3
UWC,dovps.unitedworldcollege.net,infra3
UWC,pumbaa.unitedworldcollege.net,infra3
UWC,tsremote.unitedworldcollege.net,infra3
UWC,pamsecurets2.unitedworldcollege.net,infra3
UWC,positka_soc.unitedworldcollege.net,infra3
UWC,pamsecurets.unitedworldcollege.net,infra4
UWC,uwceastfax.unitedworldcollege.net,infra4
UWC,groot.unitedworldcollege.net,infra4
UWC,werewolf.unitedworldcollege.net,infra4
UWC,web.unitedworldcollege.net,infra4
UWC,doverpublic.unitedworldcollege.net,file1
UWC,finstorage.unitedworldcollege.net,file1
UWC,doverstafffs.unitedworldcollege.net,file2
UWC,stafffs.unitedworldcollege.net,file2
UWC,doverbms.unitedworldcollege.net,bms1
UWC,siemenbms.unitedworldcollege.net,bms1
UWC,eastbms.unitedworldcollege.net,bms2
UWC,facilityapps1.unitedworldcollege.net,fapps1
UWC,facilityapps2.unitedworldcollege.net,fapps1
UWC,elros.unitedworldcollege.net,fapps1
UWC,analytic.unitedworldcollege.net,bigdata
UWC,bigdata2019.unitedworldcollege.net,bigdata
UWC,snape.unitedworldcollege.net,dev1
UWC,cims.unitedworldcollege.net,dev1
UWC,devops.unitedworldcollege.net,dev1
UWC,webfile.unitedworldcollege.net,dev2
UWC,escims.unitedworldcollege.net,dev2
UWC,potter.unitedworldcollege.net,dev2
UWC,eprocurement.unitedworldcollege.net,fin1
UWC,sagefin.unitedworldcollege.net,fin1
UWC,hrsvr2.unitedworldcollege.net,fin1
UWC,egiro.unitedworldcollege.net,fin1
UWC,sagefin_db.unitedworldcollege.net,fin2
UWC,eprocurementuat.unitedworldcollege.net,fin2
UWC,uwcsage.unitedworldcollege.net,fin2
UWC,sagetest.unitedworldcollege.net,fin2
UWC,webapps.unitedworldcollege.net,apps1
UWC,ellucian.unitedworldcollege.net,admission
UWC,ellucianrdp.unitedworldcollege.net,admission
UWC,cdimage.unitedworldcollege.net,doverintnix
UWC,hublot.unitedworldcollege.net ,doverintnix
UWC,linux95.unitedworldcollege.net,doverintnix
UWC,middleman.unitedworldcollege.net,doverintnix
UWC,sweeper.unitedworldcollege.net ,doverintnix
UWC,starcraft.unitedworldcollege.net,doverintnix
UWC,splunkforwarder2.unitedworldcollege.net,doverintnix
UWC,shady.unitedworldcollege.net,doverintnix
UWC,slim.unitedworldcollege.net,doverintnix
UWC,timex.unitedworldcollege.net,doverintnix
UWC,zabbix.unitedworldcollege.net,doverintnix
UWC,breitling.unitedworldcollege.net,tampintnix
UWC,fortnite.unitedworldcollege.net,tampintnix
UWC,impala.unitedworldcollege.net,tampintnix
UWC,springbok.unitedworldcollege.net,tampintnix
UWC,tudor.unitedworldcollege.net,tampintnix
UWC,battleship.unitedworldcollege.net,zscaler
UWC,blackhole.unitedworldcollege.net,zscaler
UWC,zpaconnector.unitedworldcollege.net,zscaler
UWC,reaper.unitedworldcollege.net,doverubuntu
UWC,webredirect.unitedworldcollege.net,doverubuntu
UWC,polaris.unitedworldcollege.net,tampubuntu
